,state,country,Lat,Long,date,confirmed,recovered,death
0,,Afghanistan,33.93911,67.709953,1/22/20,0,0.0,0
1,,Albania,41.1533,20.1683,1/22/20,0,0.0,0
2,,Algeria,28.0339,1.6596,1/22/20,0,0.0,0
3,,Andorra,42.5063,1.5218,1/22/20,0,0.0,0
4,,Angola,-11.2027,17.8739,1/22/20,0,0.0,0
5,,Antigua and Barbuda,17.0608,-61.7964,1/22/20,0,0.0,0
6,,Argentina,-38.4161,-63.6167,1/22/20,0,0.0,0
7,,Armenia,40.0691,45.0382,1/22/20,0,0.0,0
8,Australian Capital Territory,Australia,-35.4735,149.0124,1/22/20,0,0.0,0
9,New South Wales,Australia,-33.8688,151.2093,1/22/20,0,0.0,0
10,Northern Territory,Australia,-12.4634,130.8456,1/22/20,0,0.0,0
11,Queensland,Australia,-27.4698,153.0251,1/22/20,0,0.0,0
12,South Australia,Australia,-34.9285,138.6007,1/22/20,0,0.0,0
13,Tasmania,Australia,-42.8821,147.3272,1/22/20,0,0.0,0
14,Victoria,Australia,-37.8136,144.9631,1/22/20,0,0.0,0
15,Western Australia,Australia,-31.9505,115.8605,1/22/20,0,0.0,0
16,,Austria,47.5162,14.5501,1/22/20,0,0.0,0
17,,Azerbaijan,40.1431,47.5769,1/22/20,0,0.0,0
18,,Bahamas,25.025885,-78.035889,1/22/20,0,0.0,0
19,,Bahrain,26.0275,50.55,1/22/20,0,0.0,0
20,,Bangladesh,23.685,90.3563,1/22/20,0,0.0,0
21,,Barbados,13.1939,-59.5432,1/22/20,0,0.0,0
22,,Belarus,53.7098,27.9534,1/22/20,0,0.0,0
23,,Belgium,50.8333,4.469936,1/22/20,0,0.0,0
24,,Belize,17.1899,-88.4976,1/22/20,0,0.0,0
25,,Benin,9.3077,2.3158,1/22/20,0,0.0,0
26,,Bhutan,27.5142,90.4336,1/22/20,0,0.0,0
27,,Bolivia,-16.2902,-63.5887,1/22/20,0,0.0,0
28,,Bosnia and Herzegovina,43.9159,17.6791,1/22/20,0,0.0,0
29,,Botswana,-22.3285,24.6849,1/22/20,0,0.0,0
30,,Brazil,-14.235,-51.9253,1/22/20,0,0.0,0
31,,Brunei,4.5353,114.7277,1/22/20,0,0.0,0
32,,Bulgaria,42.7339,25.4858,1/22/20,0,0.0,0
33,,Burkina Faso,12.2383,-1.5616,1/22/20,0,0.0,0
34,,Burma,21.9162,95.956,1/22/20,0,0.0,0
35,,Burundi,-3.3731,29.9189,1/22/20,0,0.0,0
36,,Cabo Verde,16.5388,-23.0418,1/22/20,0,0.0,0
37,,Cambodia,11.55,104.9167,1/22/20,0,0.0,0
38,,Cameroon,3.848,11.5021,1/22/20,0,0.0,0
39,Alberta,Canada,53.9333,-116.5765,1/22/20,0,0.0,0
40,British Columbia,Canada,53.7267,-127.6476,1/22/20,0,0.0,0
41,Diamond Princess,Canada,0.0,0.0,1/22/20,0,0.0,0
42,Grand Princess,Canada,0.0,0.0,1/22/20,0,0.0,0
43,Manitoba,Canada,53.7609,-98.8139,1/22/20,0,0.0,0
44,New Brunswick,Canada,46.5653,-66.4619,1/22/20,0,0.0,0
45,Newfoundland and Labrador,Canada,53.1355,-57.6604,1/22/20,0,0.0,0
46,Northwest Territories,Canada,64.8255,-124.8457,1/22/20,0,0.0,0
47,Nova Scotia,Canada,44.682,-63.7443,1/22/20,0,0.0,0
48,Ontario,Canada,51.2538,-85.3232,1/22/20,0,0.0,0
49,Prince Edward Island,Canada,46.5107,-63.4168,1/22/20,0,0.0,0
50,Quebec,Canada,52.9399,-73.5491,1/22/20,0,0.0,0
51,Saskatchewan,Canada,52.9399,-106.4509,1/22/20,0,0.0,0
52,Yukon,Canada,64.2823,-135.0,1/22/20,0,0.0,0
53,,Central African Republic,6.6111,20.9394,1/22/20,0,0.0,0
54,,Chad,15.4542,18.7322,1/22/20,0,0.0,0
55,,Chile,-35.6751,-71.543,1/22/20,0,0.0,0
56,Anhui,China,31.8257,117.2264,1/22/20,1,28.0,0
57,Beijing,China,40.1824,116.4142,1/22/20,14,0.0,0
58,Chongqing,China,30.0572,107.874,1/22/20,6,0.0,0
59,Fujian,China,26.0789,117.9874,1/22/20,1,0.0,0
60,Gansu,China,35.7518,104.2861,1/22/20,0,0.0,0
61,Guangdong,China,23.3417,113.4244,1/22/20,26,0.0,0
62,Guangxi,China,23.8298,108.7881,1/22/20,2,0.0,0
63,Guizhou,China,26.8154,106.8748,1/22/20,1,0.0,0
64,Hainan,China,19.1959,109.7453,1/22/20,4,0.0,0
65,Hebei,China,39.549,116.1306,1/22/20,1,0.0,0
66,Heilongjiang,China,47.862,127.7615,1/22/20,0,0.0,0
67,Henan,China,37.8957,114.9042,1/22/20,5,0.0,0
68,Hong Kong,China,22.3,114.2,1/22/20,0,0.0,0
69,Hubei,China,30.9756,112.2707,1/22/20,444,0.0,17
70,Hunan,China,27.6104,111.7088,1/22/20,4,0.0,0
71,Inner Mongolia,China,44.0935,113.9448,1/22/20,0,0.0,0
72,Jiangsu,China,32.9711,119.455,1/22/20,1,0.0,0
73,Jiangxi,China,27.614,115.7221,1/22/20,2,0.0,0
74,Jilin,China,43.6661,126.1923,1/22/20,0,0.0,0
75,Liaoning,China,41.2956,122.6085,1/22/20,2,0.0,0
76,Macau,China,22.1667,113.55,1/22/20,1,0.0,0
77,Ningxia,China,37.2692,106.1655,1/22/20,1,0.0,0
78,Qinghai,China,35.7452,95.9956,1/22/20,0,0.0,0
79,Shaanxi,China,35.1917,108.8701,1/22/20,0,0.0,0
80,Shandong,China,36.3427,118.1498,1/22/20,2,0.0,0
81,Shanghai,China,31.202,121.4491,1/22/20,9,0.0,0
82,Shanxi,China,37.5777,112.2922,1/22/20,1,0.0,0
83,Sichuan,China,30.6171,102.7103,1/22/20,5,0.0,0
84,Tianjin,China,39.3054,117.323,1/22/20,4,0.0,0
85,Tibet,China,31.6927,88.0924,1/22/20,0,0.0,0
86,Xinjiang,China,41.1129,85.2401,1/22/20,0,0.0,0
87,Yunnan,China,24.974,101.487,1/22/20,1,0.0,0
88,Zhejiang,China,29.1832,120.0934,1/22/20,10,0.0,0
89,,Colombia,4.5709,-74.2973,1/22/20,0,0.0,0
90,,Comoros,-11.6455,43.3333,1/22/20,0,0.0,0
91,,Congo (Brazzaville),-0.228,15.8277,1/22/20,0,0.0,0
92,,Congo (Kinshasa),-4.0383,21.7587,1/22/20,0,0.0,0
93,,Costa Rica,9.7489,-83.7534,1/22/20,0,0.0,0
94,,Cote d'Ivoire,7.54,-5.5471,1/22/20,0,0.0,0
95,,Croatia,45.1,15.2,1/22/20,0,0.0,0
96,,Cuba,21.521757,-77.78116700000002,1/22/20,0,0.0,0
97,,Cyprus,35.1264,33.4299,1/22/20,0,0.0,0
98,,Czechia,49.8175,15.473,1/22/20,0,0.0,0
99,Faroe Islands,Denmark,61.8926,-6.9118,1/22/20,0,0.0,0
100,Greenland,Denmark,71.7069,-42.6043,1/22/20,0,0.0,0
101,,Denmark,56.2639,9.5018,1/22/20,0,0.0,0
102,,Diamond Princess,0.0,0.0,1/22/20,0,0.0,0
103,,Djibouti,11.8251,42.5903,1/22/20,0,0.0,0
104,,Dominica,15.415,-61.371,1/22/20,0,0.0,0
105,,Dominican Republic,18.7357,-70.1627,1/22/20,0,0.0,0
106,,Ecuador,-1.8312,-78.1834,1/22/20,0,0.0,0
107,,Egypt,26.820553000000004,30.802498,1/22/20,0,0.0,0
108,,El Salvador,13.7942,-88.8965,1/22/20,0,0.0,0
109,,Equatorial Guinea,1.6508,10.2679,1/22/20,0,0.0,0
110,,Eritrea,15.1794,39.7823,1/22/20,0,0.0,0
111,,Estonia,58.5953,25.0136,1/22/20,0,0.0,0
112,,Eswatini,-26.5225,31.4659,1/22/20,0,0.0,0
113,,Ethiopia,9.145,40.4897,1/22/20,0,0.0,0
114,,Fiji,-17.7134,178.065,1/22/20,0,0.0,0
115,,Finland,61.92411,25.748151,1/22/20,0,0.0,0
116,French Guiana,France,3.9339,-53.1258,1/22/20,0,0.0,0
117,French Polynesia,France,-17.6797,149.4068,1/22/20,0,0.0,0
118,Guadeloupe,France,16.265,-61.551,1/22/20,0,0.0,0
119,Martinique,France,14.6415,-61.0242,1/22/20,0,0.0,0
120,Mayotte,France,-12.8275,45.166244,1/22/20,0,0.0,0
121,New Caledonia,France,-20.904305,165.618042,1/22/20,0,0.0,0
122,Reunion,France,-21.1151,55.5364,1/22/20,0,0.0,0
123,Saint Barthelemy,France,17.9,-62.8333,1/22/20,0,0.0,0
124,Saint Pierre and Miquelon,France,46.8852,-56.3159,1/22/20,0,0.0,0
125,St Martin,France,18.0708,-63.0501,1/22/20,0,0.0,0
126,,France,46.2276,2.2137,1/22/20,0,0.0,0
127,,Gabon,-0.8037,11.6094,1/22/20,0,0.0,0
128,,Gambia,13.4432,-15.3101,1/22/20,0,0.0,0
129,,Georgia,42.3154,43.3569,1/22/20,0,0.0,0
130,,Germany,51.165691,10.451526,1/22/20,0,0.0,0
131,,Ghana,7.9465,-1.0232,1/22/20,0,0.0,0
132,,Greece,39.0742,21.8243,1/22/20,0,0.0,0
133,,Grenada,12.1165,-61.679,1/22/20,0,0.0,0
134,,Guatemala,15.7835,-90.2308,1/22/20,0,0.0,0
135,,Guinea,9.9456,-9.6966,1/22/20,0,0.0,0
136,,Guinea-Bissau,11.8037,-15.1804,1/22/20,0,0.0,0
137,,Guyana,4.860416000000002,-58.93018000000001,1/22/20,0,0.0,0
138,,Haiti,18.9712,-72.2852,1/22/20,0,0.0,0
139,,Holy See,41.9029,12.4534,1/22/20,0,0.0,0
140,,Honduras,15.2,-86.2419,1/22/20,0,0.0,0
141,,Hungary,47.1625,19.5033,1/22/20,0,0.0,0
142,,Iceland,64.9631,-19.0208,1/22/20,0,0.0,0
143,,India,20.593684,78.96288,1/22/20,0,0.0,0
144,,Indonesia,-0.7893,113.9213,1/22/20,0,0.0,0
145,,Iran,32.427908,53.68804599999999,1/22/20,0,0.0,0
146,,Iraq,33.223191,43.679291,1/22/20,0,0.0,0
147,,Ireland,53.1424,-7.6921,1/22/20,0,0.0,0
148,,Israel,31.046051,34.851612,1/22/20,0,0.0,0
149,,Italy,41.87194,12.56738,1/22/20,0,0.0,0
150,,Jamaica,18.1096,-77.2975,1/22/20,0,0.0,0
151,,Japan,36.204824,138.252924,1/22/20,2,0.0,0
152,,Jordan,31.24,36.51,1/22/20,0,0.0,0
153,,Kazakhstan,48.0196,66.9237,1/22/20,0,0.0,0
154,,Kenya,-0.0236,37.9062,1/22/20,0,0.0,0
155,,"Korea, South",35.90775700000001,127.766922,1/22/20,1,0.0,0
156,,Kosovo,42.602636,20.902977,1/22/20,0,0.0,0
157,,Kuwait,29.31166,47.481766,1/22/20,0,0.0,0
158,,Kyrgyzstan,41.20438,74.766098,1/22/20,0,0.0,0
159,,Laos,19.85627,102.495496,1/22/20,0,0.0,0
160,,Latvia,56.8796,24.6032,1/22/20,0,0.0,0
161,,Lebanon,33.8547,35.8623,1/22/20,0,0.0,0
162,,Lesotho,-29.61,28.2336,1/22/20,0,0.0,0
163,,Liberia,6.4280550000000005,-9.429499,1/22/20,0,0.0,0
164,,Libya,26.3351,17.228331,1/22/20,0,0.0,0
165,,Liechtenstein,47.14,9.55,1/22/20,0,0.0,0
166,,Lithuania,55.1694,23.8813,1/22/20,0,0.0,0
167,,Luxembourg,49.8153,6.1296,1/22/20,0,0.0,0
168,,MS Zaandam,0.0,0.0,1/22/20,0,0.0,0
169,,Madagascar,-18.766947,46.869107,1/22/20,0,0.0,0
170,,Malawi,-13.2543,34.3015,1/22/20,0,0.0,0
171,,Malaysia,4.210483999999999,101.975766,1/22/20,0,0.0,0
172,,Maldives,3.2028,73.2207,1/22/20,0,0.0,0
173,,Mali,17.570692,-3.996166000000001,1/22/20,0,0.0,0
174,,Malta,35.9375,14.3754,1/22/20,0,0.0,0
175,,Mauritania,21.0079,-10.9408,1/22/20,0,0.0,0
176,,Mauritius,-20.348404,57.552152,1/22/20,0,0.0,0
177,,Mexico,23.6345,-102.5528,1/22/20,0,0.0,0
178,,Moldova,47.4116,28.3699,1/22/20,0,0.0,0
179,,Monaco,43.7333,7.4167,1/22/20,0,0.0,0
180,,Mongolia,46.8625,103.8467,1/22/20,0,0.0,0
181,,Montenegro,42.708678000000006,19.37439,1/22/20,0,0.0,0
182,,Morocco,31.7917,-7.0926,1/22/20,0,0.0,0
183,,Mozambique,-18.665695,35.529562,1/22/20,0,0.0,0
184,,Namibia,-22.9576,18.4904,1/22/20,0,0.0,0
185,,Nepal,28.1667,84.25,1/22/20,0,0.0,0
186,Aruba,Netherlands,12.5211,-69.9683,1/22/20,0,0.0,0
187,"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,1/22/20,0,0.0,0
188,Curacao,Netherlands,12.1696,-68.99,1/22/20,0,0.0,0
189,Sint Maarten,Netherlands,18.0425,-63.0548,1/22/20,0,0.0,0
190,,Netherlands,52.1326,5.2913,1/22/20,0,0.0,0
191,,New Zealand,-40.9006,174.886,1/22/20,0,0.0,0
192,,Nicaragua,12.865416,-85.207229,1/22/20,0,0.0,0
193,,Niger,17.607789,8.081666,1/22/20,0,0.0,0
194,,Nigeria,9.082,8.6753,1/22/20,0,0.0,0
195,,North Macedonia,41.6086,21.7453,1/22/20,0,0.0,0
196,,Norway,60.472,8.4689,1/22/20,0,0.0,0
197,,Oman,21.512583,55.92325500000001,1/22/20,0,0.0,0
198,,Pakistan,30.3753,69.3451,1/22/20,0,0.0,0
199,,Panama,8.538,-80.7821,1/22/20,0,0.0,0
200,,Papua New Guinea,-6.314993,143.95555,1/22/20,0,0.0,0
201,,Paraguay,-23.4425,-58.4438,1/22/20,0,0.0,0
202,,Peru,-9.19,-75.0152,1/22/20,0,0.0,0
203,,Philippines,12.879721,121.774017,1/22/20,0,0.0,0
204,,Poland,51.9194,19.1451,1/22/20,0,0.0,0
205,,Portugal,39.3999,-8.2245,1/22/20,0,0.0,0
